"","TFs","target","mor","shared_name"
"1","AR","ABCE1",0.915067818232275,"AR (interacts with) ABCE1"
"2","AR","ACAD10",0.9475857923583,"AR (interacts with) ACAD10"
"3","AR","AHSG",0.973898528635151,"AR (interacts with) AHSG"
"4","AR","AKR1B1",0.8869016554292,"AR (interacts with) AKR1B1"
"5","AR","AKR1C3",0.491136647585388,"AR (interacts with) AKR1C3"
"6","AR","AKT1",-8.8967418689063e-06,"AR (interacts with) AKT1"
"7","AR","ANAPC10",0.958942958542491,"AR (interacts with) ANAPC10"
"8","AR","AP2M1",-7.81937886160162e-06,"AR (interacts with) AP2M1"
"9","AR","APPBP2",0.247953269100483,"AR (interacts with) APPBP2"
"10","AR","ATF6",0.901830979353808,"AR (interacts with) ATF6"
"11","AR","ATM",0.957437636811147,"AR (interacts with) ATM"
"12","AR","ATP2B4",0.75767633313892,"AR (interacts with) ATP2B4"
"13","AR","BANF1",0.893376880133747,"AR (interacts with) BANF1"
"14","AR","BTD",0.887411009748561,"AR (interacts with) BTD"
"15","AR","C1orf21",0.320280396872884,"AR (interacts with) C1orf21"
"16","AR","CCNG2",0.697663046894288,"AR (interacts with) CCNG2"
"17","AR","CD4",-6.78377432278315e-07,"AR (interacts with) CD4"
"18","AR","CDC6",0.356910904725017,"AR (interacts with) CDC6"
"19","AR","CDH2",0.745751355653826,"AR (interacts with) CDH2"
"20","AR","CDKL5",0.230347676233344,"AR (interacts with) CDKL5"
"21","AR","CDKN1A",-5.43188857663931e-06,"AR (interacts with) CDKN1A"
"22","AR","CITED2",0.318186710599169,"AR (interacts with) CITED2"
"23","AR","COASY",0.809453055524601,"AR (interacts with) COASY"
"24","AR","CPT2",0.677772546344222,"AR (interacts with) CPT2"
"25","AR","CRISP1",0.999600046499253,"AR (interacts with) CRISP1"
"26","AR","CYCS",0.765718483815831,"AR (interacts with) CYCS"
"27","AR","DBI",0.538054228918726,"AR (interacts with) DBI"
"28","AR","DDC",0.995223347531528,"AR (interacts with) DDC"
"29","AR","DDT",0.764833618295687,"AR (interacts with) DDT"
"30","AR","DHX15",0.901376521508349,"AR (interacts with) DHX15"
"31","AR","EGFR",0.858933555844246,"AR (interacts with) EGFR"
"32","AR","EIF3I",0.998853537289288,"AR (interacts with) EIF3I"
"33","AR","ELF3",0.299672546002301,"AR (interacts with) ELF3"
"34","AR","ERBB3",0.872418965053155,"AR (interacts with) ERBB3"
"35","AR","ESRRA",-1.08989884956515e-07,"AR (interacts with) ESRRA"
"36","AR","EYA2",0.938841985247802,"AR (interacts with) EYA2"
"37","AR","FAM13A",0.337280907204202,"AR (interacts with) FAM13A"
"38","AR","FAM174B",-1.54624159239138e-07,"AR (interacts with) FAM174B"
"39","AR","FKBP5",0.747609480095138,"AR (interacts with) FKBP5"
"40","AR","FOXA1",0.685176008851978,"AR (interacts with) FOXA1"
"41","AR","FXYD3",0.981799904888839,"AR (interacts with) FXYD3"
"42","AR","GLRX",-0.274412405012173,"AR (interacts with) GLRX"
"43","AR","GNL1",0.992661549983495,"AR (interacts with) GNL1"
"44","AR","GRB10",0.923141757728153,"AR (interacts with) GRB10"
"45","AR","GTF2F1",0.823610389982463,"AR (interacts with) GTF2F1"
"46","AR","HES1",0.265468914510423,"AR (interacts with) HES1"
"47","AR","HK2",-2.45274765546016e-06,"AR (interacts with) HK2"
"48","AR","HLA-E",0.600748871354011,"AR (interacts with) HLA-E"
"49","AR","HNRNPA1",0.96121196933805,"AR (interacts with) HNRNPA1"
"50","AR","HSD17B11",0.906279404356766,"AR (interacts with) HSD17B11"
"51","AR","IFI35",0.630546634006453,"AR (interacts with) IFI35"
"52","AR","IGF1R",0.345942067251831,"AR (interacts with) IGF1R"
"53","AR","IGFBP3",0.541649499778355,"AR (interacts with) IGFBP3"
"54","AR","IL1R1",-0.725808014011715,"AR (interacts with) IL1R1"
"55","AR","JUN",0.509199562860776,"AR (interacts with) JUN"
"56","AR","KCNH2",-0.000389292435968824,"AR (interacts with) KCNH2"
"57","AR","KIAA1217",-1.26137110635892e-07,"AR (interacts with) KIAA1217"
"58","AR","KLF5",-0.00273180466455665,"AR (interacts with) KLF5"
"59","AR","KLK2",0.998007641424749,"AR (interacts with) KLK2"
"60","AR","KLK3",0.982000792119926,"AR (interacts with) KLK3"
"61","AR","KLK4",0.998558659834779,"AR (interacts with) KLK4"
"62","AR","KRT18",0.328725669183529,"AR (interacts with) KRT18"
"63","AR","KRT8",-7.52743307571221e-05,"AR (interacts with) KRT8"
"64","AR","LIFR",0.182037117318761,"AR (interacts with) LIFR"
"65","AR","MED1",0.972014119810484,"AR (interacts with) MED1"
"66","AR","MMP13",0.999203267028335,"AR (interacts with) MMP13"
"67","AR","MRPS27",0.952860309282864,"AR (interacts with) MRPS27"
"68","AR","MT2A",-6.06508976854567e-05,"AR (interacts with) MT2A"
"69","AR","MUC1",0.995932268816875,"AR (interacts with) MUC1"
"70","AR","MYC",0.298661775989674,"AR (interacts with) MYC"
"71","AR","NCOA2",0.728650245563958,"AR (interacts with) NCOA2"
"72","AR","NDRG1",-3.03785732687523e-06,"AR (interacts with) NDRG1"
"73","AR","NKX3-1",-2.59725142431511e-07,"AR (interacts with) NKX3-1"
"74","AR","NLGN4X",0.760376602994858,"AR (interacts with) NLGN4X"
"75","AR","NME7",0.884326356104248,"AR (interacts with) NME7"
"76","AR","NPAT",0.945985434511442,"AR (interacts with) NPAT"
"77","AR","NPEPPS",0.875760869193789,"AR (interacts with) NPEPPS"
"78","AR","NUP214",0.917053388058903,"AR (interacts with) NUP214"
"79","AR","ORM1",-0.676132056703438,"AR (interacts with) ORM1"
"80","AR","ORM2",0.184955943832428,"AR (interacts with) ORM2"
"81","AR","PEX6",0.832837465603848,"AR (interacts with) PEX6"
"82","AR","PGC",-0.000152719607240326,"AR (interacts with) PGC"
"83","AR","PIGR",0.413804690841085,"AR (interacts with) PIGR"
"84","AR","PIN1",0.998499795149693,"AR (interacts with) PIN1"
"85","AR","PMAIP1",0.96486650798394,"AR (interacts with) PMAIP1"
"86","AR","PMEPA1",0.929526085367973,"AR (interacts with) PMEPA1"
"87","AR","PNPLA4",0.240807597994892,"AR (interacts with) PNPLA4"
"88","AR","PNRC1",0.900002532721459,"AR (interacts with) PNRC1"
"89","AR","PPP2R5D",0.994568843533252,"AR (interacts with) PPP2R5D"
"90","AR","PRAME",0.998007641424749,"AR (interacts with) PRAME"
"91","AR","PRKCD",-0.0254823924474217,"AR (interacts with) PRKCD"
"92","AR","PRPS1",0.981391945660935,"AR (interacts with) PRPS1"
"93","AR","PTGS2",0.561941218466983,"AR (interacts with) PTGS2"
"94","AR","PTPN9",-4.71362661533585e-07,"AR (interacts with) PTPN9"
"95","AR","PTPRM",-1.44578381590103e-05,"AR (interacts with) PTPRM"
"96","AR","QSOX1",0.652865748138533,"AR (interacts with) QSOX1"
"97","AR","RBMX",0.998764938570041,"AR (interacts with) RBMX"
"98","AR","RBPMS",0.653966275592852,"AR (interacts with) RBPMS"
"99","AR","RELA",0.832140855745774,"AR (interacts with) RELA"
"100","AR","RNASE4",-8.28128181304084e-05,"AR (interacts with) RNASE4"
"101","AR","SCAP",0.95721859513012,"AR (interacts with) SCAP"
"102","AR","SCNN1A",0.618038827586355,"AR (interacts with) SCNN1A"
"103","AR","SDF2",0.288660274831909,"AR (interacts with) SDF2"
"104","AR","SERPINB5",0.997047950199445,"AR (interacts with) SERPINB5"
"105","AR","SERPINI1",0.347031948723002,"AR (interacts with) SERPINI1"
"106","AR","SLC25A11",0.675641593882574,"AR (interacts with) SLC25A11"
"107","AR","SMARCA2",0.956108150329441,"AR (interacts with) SMARCA2"
"108","AR","SMS",0.998007641424749,"AR (interacts with) SMS"
"109","AR","SNAI2",0.181312832833039,"AR (interacts with) SNAI2"
"110","AR","SORD",0.87465486333402,"AR (interacts with) SORD"
"111","AR","SOX4",0.951157242993382,"AR (interacts with) SOX4"
"112","AR","SPDEF",0.651763690461449,"AR (interacts with) SPDEF"
"113","AR","STK39",0.827915190187896,"AR (interacts with) STK39"
"114","AR","STXBP2",-2.59725142431511e-07,"AR (interacts with) STXBP2"
"115","AR","SUOX",0.987803020668094,"AR (interacts with) SUOX"
"116","AR","TESK1",-0.0104075711158091,"AR (interacts with) TESK1"
"117","AR","THRA",0.881172693174824,"AR (interacts with) THRA"
"118","AR","TMPRSS2",0.997500152270655,"AR (interacts with) TMPRSS2"
"119","AR","TNFRSF1A",0.324489044493973,"AR (interacts with) TNFRSF1A"
"120","AR","TRPS1",-0.77773673415831,"AR (interacts with) TRPS1"
"121","AR","UBC",0.241693295732591,"AR (interacts with) UBC"
"122","AR","UBE2D3",-0.00334733947342145,"AR (interacts with) UBE2D3"
"123","AR","UGT2B15",0.997282786555426,"AR (interacts with) UGT2B15"
"124","AR","VAPA",0.853986818083193,"AR (interacts with) VAPA"
"125","AR","VEGFA",0.629416011547303,"AR (interacts with) VEGFA"
"126","AR","XPA",0.998007641424749,"AR (interacts with) XPA"
"127","AR","ZBTB16",0.956332283849283,"AR (interacts with) ZBTB16"
"128","AR","ZCCHC9",0.973616354333042,"AR (interacts with) ZCCHC9"
"129","AR","ZFHX4",0.905403597017427,"AR (interacts with) ZFHX4"
"130","AR","ZNF559",0.984950235451126,"AR (interacts with) ZNF559"
"131","ARNTL","AVP",0.861957483758911,"ARNTL (interacts with) AVP"
"132","ARNTL","BHLHE40",-0.000372232454818501,"ARNTL (interacts with) BHLHE40"
"133","ARNTL","CRY1",-1.37425227671888e-05,"ARNTL (interacts with) CRY1"
"134","ARNTL","CRY2",0.434953249043778,"ARNTL (interacts with) CRY2"
"135","ARNTL","DBP",-8.70941761834305e-07,"ARNTL (interacts with) DBP"
"136","ARNTL","NR1D1",-0.00644301256389937,"ARNTL (interacts with) NR1D1"
"137","ARNTL","NR1D2",-0.751765621350392,"ARNTL (interacts with) NR1D2"
"138","ARNTL","PER1",0.983627944400039,"ARNTL (interacts with) PER1"
"139","ARNTL","PER2",0.701766201302336,"ARNTL (interacts with) PER2"
"140","ARNTL","PER3",0.529652631250442,"ARNTL (interacts with) PER3"
"141","ATF1","BCL2",-6.23916755261117e-07,"ATF1 (interacts with) BCL2"
"142","ATF1","CCNA1",-0.00241570398877387,"ATF1 (interacts with) CCNA1"
"143","ATF1","CFTR",0.814010357231114,"ATF1 (interacts with) CFTR"
"144","ATF1","CGA",0.918225528152495,"ATF1 (interacts with) CGA"
"145","ATF1","CIITA",0.289651652988581,"ATF1 (interacts with) CIITA"
